loc,scientific.name,spp,tree,easting,northing,lat,lon,dbh.in,dwtot.lb
BL,Acer rubrum,RM,16,633951,4689705,42.34807898679687,-85.37370593760849,17,3309.839036
BL,Acer rubrum,RM,17,633950,4689696,42.347998136614784,-85.37372016282612,17.2,2286.174859
KF,Acer rubrum,RM,18,635930,4690996,42.35935778648396,-85.34938440642956,6.8,248.4288253
KF,Acer rubrum,RM,19,635285,4691985,42.36837361763194,-85.35698156001894,14.2,2137.479744
BL,Acer rubrum,RM,20,633976,4689694,42.34797565461369,-85.37340508596142,28.4,7278.294969
BL,Acer rubrum,RM,21,633976,4689693,42.34796665213053,-85.37340531811697,19.1,3377.327669
KF,Acer rubrum,RM,22,635502,4690960,42.35910839341572,-85.35458803996706,25.8,5115.363653
KF,Acer rubrum,RM,23,635807,4691406,42.36307024385297,-85.35078086129893,24.7,6705.110865
KF,Acer rubrum,RM,24,635842,4691414,42.363136148991146,-85.3503541131577,22,4867.21113
FBIC,Acer saccharum,SM,1,484590,5068131,45.76656598755418,-87.19818078580711,15.3,2565.103581
FBIC,Acer saccharum,SM,2,484618,5068006,45.765441528947086,-87.19781671640462,5.5,160.7899814
FBIC,Acer saccharum,SM,3,484512,5068077,45.766078207609326,-87.19918217133288,9.8,1122.131854
RF,Acer saccharum,SM,4,585534,4651066,42.0069692188864,-85.9670937069589,5.5,200.1939397
RF,Acer saccharum,SM,5,585785,4651045,42.00675279776827,-85.964066184172,17.7,4079.776313
RF,Acer saccharum,SM,6,585575,4651041,42.00673963325537,-85.9666023136817,7.2,436.4126408
RF,Acer saccharum,SM,7,585645,4651164,42.00783965860667,-85.96573918910579,27.5,9250.40566
RF,Acer saccharum,SM,8,585678,4651778,42.01336524771264,-85.9652511228753,30.2,16887.46805
RF,Acer saccharum,SM,9,585693,4651806,42.01361575952136,-85.96506590563816,10.4,1184.021175
AD,Acer saccharum,SM,9,627935,4667885,42.15264684268823,-85.45153280115034,6.5,239.0426093
RF,Acer saccharum,SM,10,585651,4651718,42.01282787593969,-85.96558591109343,4,106.2864855
RF,Acer saccharum,SM,11,585650,4651714,42.0127919640573,-85.96559856996747,2.7,35.76244398
RF,Acer saccharum,SM,12,585737,4651808,42.01362897783889,-85.9645342992158,12.4,1776.459467
RF,Acer saccharum,SM,13,585673,4650955,42.0059545279521,-85.96543160765137,14.1,2348.771459
RF,Acer saccharum,SM,14,585629,4651795,42.01352366841478,-85.96584033145027,15.9,3361.08353
RF,Acer saccharum,SM,15,585796,4650982,42.006184272523654,-85.96394257582226,32.8,13316.58341
RF,Acer saccharum,SM,16,585609,4651112,42.007375304838774,-85.96618144404833,24,8066.38065
RF,Acer saccharum,SM,17,585699,4650929,42.00571756316652,-85.96512148168715,22.7,4217.412183
RF,Acer saccharum,SM,18,585688,4651030,42.00662828435394,-85.96523955396103,25.5,8738.754568
RF,Acer saccharum,SM,19,585576,4651026,42.00660444670971,-85.96659242593672,20.2,6038.537198
EL,Acer saccharum,SM,20,707746,4733029,42.72166739154055,-84.46272049741717,15.3,1986.911696
EL,Acer saccharum,SM,21,707735,4733012,42.72151742301768,-84.46286095183687,18.8,3147.919832
EL,Acer saccharum,SM,22,707639,4733034,42.721741308169875,-84.46402424707978,20.6,4588.95706
KF,Betula alleghaniensis,YB,1,633730,4694531,42.39156287668144,-85.37526847324679,2.3,15.31525898
KF,Betula alleghaniensis,YB,2,633724,4694535,42.39159991928198,-85.37534041190887,5.3,183.9233194
KF,Betula alleghaniensis,YB,3,633736,4694532,42.391570846149556,-85.37519537340036,11.9,1151.728636
KF,Betula alleghaniensis,YB,4,633721,4694557,42.39179848902694,-85.37537173667607,9.5,524.0390767
NB,Carya cordiformis,BH,1,596520,4645378,41.95447942847272,-85.83538587714874,8,613.2632549
NB,Carya cordiformis,BH,2,596538,4645384,41.954531254600965,-85.83516774787739,13,1828.065745
NB,Carya cordiformis,BH,3,596279,4645279,41.9536174026025,-85.83830940521929,29.7,11385.34172
NB,Carya cordiformis,BH,4,596244,4645341,41.95417997741467,-85.83872149125952,19.5,5215.909318
NB,Carya cordiformis,BH,5,596271,4645377,41.95450085792127,-85.83838988725495,15.2,2633.498593
NB,Celtis occidentalis,HB,1,596497,4645394,41.95462632098241,-85.83566071802692,5.1,116.8052361
NB,Celtis occidentalis,HB,2,596504,4645394,41.954625464463014,-85.83557627240575,15.7,2371.182545
NB,Celtis occidentalis,HB,3,596496,4645401,41.95468947746687,-85.83567163427631,21.4,3921.432038
NB,Celtis occidentalis,HB,4,596488,4645338,41.95412314905035,-85.83577846937008,13.5,1723.265174
NB,Celtis occidentalis,HB,5,596498,4645374,41.95444610111068,-85.8356519327316,8.8,505.5066898
NB,Celtis occidentalis,HB,6,596509,4645381,41.954507789246435,-85.83551808529057,3.2,40.17938318
NB,Celtis occidentalis,HB,7,596264,4645368,41.95442066840484,-85.83847580447782,2.2,16.31560776
