project,scientific.name,spp,tree,date,loc,easting,northing,dbh.in,H.taped,R.Rating,F.Class,CrClass,Cwide,C90,Cdiam,Carea,CI,dFirstLiveBr.in,Ht.FirstLiveBr.ft,DLB.in,HtoLB.ft,st.sg.tree,st.sg.wood,st.sg.bark,dbh.sg.tree,dbh.sg.wood,dbh.sg.bark,br.sg.tree,br.sg.wood,br.sg.bark,DWdombark.lb,DWdomwood.lb,DW.to.bh.lb,DWbrbark.lb,DWbrwood.lb,DWlf.lb,sbr.DWlf.lb,DWsmbrwood.lb,DWsmbrlf.lb,DW.livebrwood.lb,DW.livebrbark.lb,DW.deadbrwood.lb,DW.deadbrbark.lb,DWmiscbrwood.lb,DWmiscbrlf.lb,DWtot.lb,DWtotWOleaf.lb,DW.tofbranch,DW.totbranch,DW.dom.above.fbranch.lb,DW.all.above.fbranch.lb,diam.at.first.branch,diam.at.first.branch2,DSH.cm,rot.index,MP,MS,BP,BS,LBT,MBT,MFT,group,spp.FIA,SPCD,Habitat,NOTES
Rural,Abies balsamea,BF,11,1/14/2014,FBIC,485326,5067380,4.5,32.5,,,I,8.8,8.7,8.8,60.1,1.071602373,0.2,2.5,0.9,8.1,0.291155062,0.267053747,0.504087894,0.3078,0.2833,0.5203,,,,9.03804858,30.92946682,9.567503981,7.478297548,13.94729312,14.6616117,14.6616117,,,11.52644405,7.478297548,2.420849072,0,0,0,76.05471777,61.39310606,6.622039215,36.08720237,33.34547618,69.43267855,3.3,3.3,17,0.251807064,1,0,0,0,0,0_0,1_0_0_0,S,BF,12,Rural,
Rural,Abies balsamea,BF,12,1/15/2014,FBIC,485105,5067420,4.1,32.3,,,S,10.9,7,8.9,65.9,1.408341138,0.6,18,0.7,24.5,0.410779744,0.385689508,0.579635434,0.395,0.377,0.5157,,,,7.965784518,35.12202472,12.17324554,2.322107039,13.1787455,4.156274364,4.156274364,,,3.579108304,2.322107039,9.5996372,0,0,0,62.74493614,58.58866178,35.87271981,19.65712691,7.215089421,26.87221633,2.7,2,12.6,0,0,0,0,0,0,0_0,0_0_0_0,S,BF,12,Rural,"Only one branch disk taken that has missing weights.  Branch bark and wood ratios estimated from other BF trees.  Branch bark and wood fractions should not be used in other calculations.  Section 8 density is incorrect, and unrecoverable."
Rural,Abies balsamea,BF,13,1/23/2014,FBIC,485263,5067195,2.5,16.9,,,S,9,8.7,8.8,61.5,1.749515924,0.6,6.2,0.6,6.4,0.407561991,0.379651279,0.601921146,0.3697,0.3517,0.5023,,,,1.840963571,8.113917678,4.421861257,4.729140745,8.021354772,5.670884837,5.670884837,,,7.289115716,4.729140745,0.732239056,0,0,0,28.3762616,22.70537677,6.523834225,18.42138035,3.431047024,21.85242738,2.3,1.6,8,0,0,0,0,0,0,0_0,0_0_0_0,S,BF,12,Rural,
Rural,Abies balsamea,BF,14,1/24/2014,FBIC,485276,5067357,1.3,9,,,S,5.6,5,5.3,22.1,3.388416733,0.3,2.5,0.4,4.5,0.456802456,0.473242969,0.460347198,0.3159,0.3939,0.1772,,,,0.470850098,1.776179136,1.731687522,0.676540882,1.245037158,2.793249908,2.793249908,,,1.042765491,0.676540882,0.202271667,0,0,0,6.961857181,4.168607274,1.182401226,4.714827947,1.064628008,5.779455956,1,1,5,0,0,0,0,0,0,0_0,0_0_0_0,S,BF,12,Rural,
Rural,Abies balsamea,BF,15,1/24/2014,FBIC,485387,5067613,8.5,40.2,,,O,18,17,17.5,240.7,0,0.7,2.5,1.4,11.5,0.33244692,0.315219321,0.538367877,0.3542,0.3407,0.4735,0.459589451,0.461671516,0.454728409,18.96674222,108.7495816,38.96736134,53.02827655,166.1708272,92.91706715,92.78577913,,,125.6966555,53.02827655,40.47417163,0,0.283833538,0.131288025,440.1163282,347.199261,26.27185009,312.5312924,101.3131857,413.8444781,5.5,5.5,27.7,0,1,0,0,0,0,0_0,1_0_0_0,S,BF,12,Rural,
Rural,Abies balsamea,BF,16,2/4/2014,FBIC,485313,5067383,4.2,35.8,,,D,8,8,8,50.3,0.533871914,0.8,10,1.7,11.2,0.327612037,0.309765847,0.485045733,0.3029,0.2796,0.5153,,,,8.202799829,39.60180686,12.66351792,4.65545085,9.710303393,12.24922774,11.47564497,,,7.175536062,4.65545085,2.534767331,0,0.891009303,0.773582773,75.31059798,63.06137024,25.297763,28.27957406,21.73326092,50.01283498,4,3.6,15.1,0.19239919,1,0,0,0,0,0_0,1_0_0_0,S,BF,12,Rural,Missing measurements for branch disks.  Moisture content for branches modeled from other BF.
Rural,Abies balsamea,BF,17,2/5/2014,FBIC,485243,5067424,6.8,28.7,,,O,18.5,18,18.2,261.6,0.057897175,1.3,2.5,1.7,2.8,0.386954494,0.379304505,0.436270937,0.4315,0.4215,0.5032,0.498084734,0.465766803,0.587580545,14.57322321,75.10779949,34.21036698,23.68136878,61.22295578,48.08027345,47.33833557,,,56.85804418,23.68136878,4.364911605,0,1.224688195,0.741937881,223.8903089,175.8100355,23.3303269,134.9512241,65.60875793,200.559982,4.5,4.5,22.7,0,1,0,0,0,0,0_0,1_0_0_0,S,BF,12,Rural,
Rural,Abies balsamea,BF,18,2/7/2014,FBIC,485314,5067425,2.2,17.7,,,I,5.4,5,5.2,21.3,0.555704305,0.5,2.5,0.6,4.6,0.387894202,0.38341997,0.413266727,0.3644,0.3551,0.4188,,,,1.574145445,6.872062127,4.388641246,3.376491109,5.327607923,12.05575745,12.05575745,,,5.20425078,3.376491109,0.123357143,0,0,0,29.20606405,17.1503066,2.960832689,20.75985648,5.485374884,26.24523136,1.6,1.6,8.3,0,0,0,0,0,0,0_0,0_0_0_0,S,BF,12,Rural,
Rural,Abies balsamea,BF,19,2/13/2014,FBIC,485312,5067387,3.3,19.8,,,D,9.9,8.7,9.3,68.2,0.617627756,0.4,2.5,0.6,9.9,0.449929311,0.413344257,0.623654472,0.6289,0.6186,0.6915,,,,3.308547148,14.93216991,8.352875221,4.655284848,9.321565138,5.956184156,5.956184156,,,7.1752802,4.655284848,2.146284937,0,0,0,38.1737512,32.21756704,5.881157166,19.93303414,12.35955989,32.29259403,2.4,2.4,12.3,0,0,0,0,0,0,0_0,0_0_0_0,S,BF,12,Rural,
Rural,Abies balsamea,BF,23,5/21/2014,FBIC,485285,5067613,3.3,20.2,,,O,8.9,9,8.9,62.9,0.096009601,0.7,2.5,0.9,4.5,0.458554999,0.460255161,0.501682647,0.4736,0.4272,1.2414,,,,3.479125783,18.60834723,12.03603252,9.45577085,14.70888637,25.11583078,25.11583078,,,14.57436174,9.45577085,0.134524634,0,0,0,71.36796101,46.25213023,8.50446766,49.280488,13.58300535,62.86349335,2.6,2.6,13.1,0,0,0,0,0,0,0_0,0_0_0_0,S,BF,12,Rural,
Rural,Abies balsamea,BF,24,5/21/2014,FBIC,485565,5067785,1.7,13.1,,,O,7,7.5,7.2,41.3,0.588235294,0.3,2.5,0.5,3,0.385935136,0.331340636,0.794384316,0.3704,0.2893,1.0582,,,,1.105369831,3.009806095,2.933604678,2.100965545,3.295395803,6.428282145,6.428282145,,,3.238258661,2.100965545,0.057137143,0,0,0,15.93981942,9.511537274,2.072811362,11.82464349,2.042364564,13.86700806,1.4,1.4,7.1,0,0,0,0,0,0,0_0,0_0_0_0,S,BF,12,Rural,
Rural,Abies balsamea,BF,25,6/4/2014,FBIC,485336,5067291,14,75,,,D,18.7,18,18.4,264.6,0.627209431,1.6,18,5.2,18,0.396508687,0.375206669,0.548034291,0.3745,0.3915,0.2598,0.513472791,0.484766988,0.592485586,163.680948,700.8454989,135.4506333,141.5991667,231.8879801,39.91914864,39.91914864,,,165.6836325,115.0784998,66.20434759,26.52066685,0,0,1277.932742,1238.013594,439.7683685,413.4062953,424.7580784,838.1643738,11.9,12.7,50.9,0,1,1,0,0,0,0_0,1_1_0_0,S,BF,12,Rural,
Rural,Carya cordiformis,BH,1,7/11/2017,NB,596520,4645378,8,81.6,1,2,C,29.7,27.1,28.4,634.8,0.555770885,2.3,34.7,4,45.9,0.610403457,0.642014972,0.42136763,0.626,0.6461,0.4885,0.562503483,0.598344149,0.428551024,46.40144753,447.2361564,61.51040369,17.01149165,97.09061351,18.90346172,12.26299905,5.314638672,6.607450795,97.09061351,17.01149165,0,0,0.208907111,0.033011879,632.1667166,613.2632549,362.0209529,138.5291127,131.616651,270.1457637,5.9,5.4,26.4,0,1,0,0,0,0,0_0,1_0_0_0,H,BH,402,Rural,
Rural,Carya cordiformis,BH,2,7/11/2017,NB,596538,4645384,13,78.6,1,1,C,49,41.4,45.2,1615.9,0.077999582,5.8,19.8,6.7,32.4,0.635742036,0.646486088,0.572613649,0.6216,0.6243,0.601,0.598654888,0.609640562,0.569364315,125.858634,924.3669554,178.2704834,118.6145285,654.5088698,64.89639256,62.67062174,4.143339844,2.177929688,647.3198406,117.2504346,7.189029216,1.364093935,0.573417874,0.047841129,1892.962138,1828.065745,565.9533449,842.7365486,484.2722445,1327.008793,10.9,8.3,46.4,0,1,1,1,0,1,1_0,1_1_1_0,H,BH,402,Rural,
Rural,Carya cordiformis,BH,3,7/17/2017,NB,596279,4645279,29.7,102.5,4,6,D,46.9,39.8,43.3,1485.8,0.113252722,23,10.7,23,10.7,0.595787968,0.603910413,0.565125535,0.6023,0.5994,0.6308,0.59859372,0.617207956,0.513816514,547.015283,4512.394927,652.9341592,963.4704278,5336.812169,100.7072708,98.93290818,4.74970648,1.441652496,5329.854311,963.4704278,6.957857868,0,20.89920124,0.332710134,11486.04899,11385.34172,1700.07302,6426.638776,3359.33719,9785.975966,30.3,25.7,95.9,0,1,1,1,1,1,1_1,1_1_1_1,H,BH,402,Rural,
Rural,Carya cordiformis,BH,4,7/24/2017,NB,596244,4645341,19.5,95.6,2,2,D,38.1,28.5,33.3,889,0.120929648,1,23.9,13.1,40.8,0.596898711,0.599757026,0.602522034,0.6441,0.6667,0.454,0.583200432,0.580461975,0.589131628,306.9613606,2941.676493,378.3231542,301.3016165,1645.243527,45.79842625,41.70632788,13.19476722,3.916762479,1637.891764,299.6813393,7.351763165,1.620277219,7.531553258,0.175335887,5261.707744,5215.909318,1690.086843,2013.06989,1558.55101,3571.6209,17.2,25.2,76.1,0.002339763,1,1,1,1,1,1_1,1_1_1_1,H,BH,402,Rural,
Rural,Carya cordiformis,BH,5,5/17/2017,NB,596271,4645377,15.2,93.7,2,5,C,48,38.6,43.3,1489.9,0.847231721,8.4,30.7,8.4,30.7,0.589255565,0.599043531,0.508259955,0.5959,0.6129,0.4744,0.557931554,0.577985331,0.506176278,222.1186206,1629.088335,228.0604896,158.0555415,607.6599307,59.92039065,53.79485276,9.696296832,5.598567678,597.6174794,156.7359863,10.04245128,1.319555144,6.879868231,0.526970215,2693.418983,2633.498593,1131.427928,842.2120278,719.7790279,1561.991056,11.4,12.3,85.1,0.000115532,1,1,1,0,1,1_0,1_1_1_0,H,BH,402,Rural,
Rural,Carya cordiformis,BH,6,8/7/2017,NB,596271,4645377,17,91.4,2,5,C,42.8,42,42.4,1412.1,0.688839164,1,25.6,10.2,36.6,0.618560408,0.626657757,0.552496764,0.6652,0.6739,0.5858,0.597524009,0.586202636,0.636186059,238.1854275,1948.579342,301.4614467,222.5049114,1006.730728,49.77051188,47.42757308,4.431839121,2.05982461,1003.583555,222.1079028,3.147173198,0.397008675,7.057731499,0.283114187,3477.260491,3427.48998,1236.441148,1290.495722,950.3236213,2240.819343,14,13.3,85.1,0.00081217,1,1,1,1,1,1_1,1_1_1_1,H,BH,402,Rural,
Rural,Acer nigrum,BM,1,8/1/2016,RF,585729,4650999,26.4,100.5,2,1,D,52,39.8,45.9,1683.9,0.188137951,8.7,53,15.4,57.7,0.544449554,0.530867025,0.781544561,0.3871,0.3564,0.7394,0.632716516,0.594531822,0.815410267,654.0653582,5296.614294,573.0921591,910.0744766,3115.919016,65.69586886,64.65775538,2.312717902,0.750985859,3115.919016,910.0744766,0,0,17.68323224,0.287127617,10062.36496,9996.669094,5222.843495,4111.685311,727.8361566,4839.521468,18.7,17.8,98.8,0.12923334,1,1,1,1,1,1_1,1_1_1_1,H,BM,314,Rural,
Rural,Acer nigrum,BM,2,9/19/2016,RF,585785,4651033,19.4,94.8,1,1,D,45,44.1,44.5,1558.9,0,2.4,31.4,8.3,54.2,0.54205808,0.541031232,0.560449011,0.5581,0.5575,0.5633,0.605361311,0.574736225,0.794430114,351.9088776,2840.779545,325.4848074,325.0867755,1222.304286,99.70143707,99.01482141,1.073047453,0.618966468,1222.304286,325.0867755,0,0,1.051373779,0.067649196,4841.905343,4742.203905,1889.380006,1649.21692,1303.308416,2952.525336,16.5,17.5,71.4,0,1,1,1,0,1,1_0,1_1_1_0,H,BM,314,Rural,
Rural,Acer nigrum,BM,3,9/20/2016,RF,585834,4650944,8.2,50.3,4,1,I,18.5,19.1,18.8,277.7,0.617098739,1.7,18.6,2,23.4,0.719562166,0.716024136,0.764992382,0.7601,0.7703,0.6733,0.625012124,0.6015448,0.780118409,18.11096007,164.0907773,49.65265638,8.101200489,38.60959307,7.00291458,3.616973849,2.766922717,3.385940731,36.75413952,7.780016785,1.85545355,0.321183704,0,0,238.6823682,231.6794536,136.5792944,56.48063086,45.62244298,102.1030738,4,3.1,19.1,0,1,0,0,0,0,0_0,1_0_0_0,H,BM,314,Rural,
Rural,Acer nigrum,BM,4,9/22/2016,RF,585822,4650991,1.6,22.5,2,8,S,21.5,18.8,20.1,320.3,1.902541844,1,3.5,1,3.5,0.680939765,0.663707282,0.83240381,0.7059,0.6866,0.9253,0.600289138,0.560410017,0.835142963,0.9060973,6.863503393,3.280730274,1.169652884,5.078741463,1.204916929,0.931675861,0.452556654,0.271227521,5.078741463,1.169652884,0,0,0.011216762,0.002013547,15.68668538,14.48176846,,7.917084692,,,0,0,5.4,0,0,0,0,0,0,0_0,0_0_0_0,H,BM,314,Rural,
Rural,Tilia americana,BW,1,6/14/2013,NW,597458,4643744,5.5,36.2,,,I,26.2,23.1,24.6,479.1,0.444770098,1.2,11.5,2,25.2,0.369743641,0.367856164,0.385959096,0.379,0.3619,0.4931,0.302871572,0.280405242,0.367061038,11.77937207,54.32929854,16.66571388,7.904422681,12.9394506,7.609618766,6.482074918,1.327295205,1.127543847,12.9394506,7.904422681,0,0,0,0,95.88945787,88.2798391,39.46191541,29.78078725,26.6467552,56.42754245,4.7,3.4,18.1,0,1,0,0,0,0,0_0,1_0_0_0,H,BA,951,Rural,
Rural,Tilia americana,BW,2,9/16/2013,TG,297676,4708569,26.4,100.2,,,C,40.6,36.2,38.4,1161.9,0.245755164,4.4,51.5,12.4,67.5,0.345865886,0.33838926,0.413376145,0.3529,0.3453,0.427,0.426591875,0.37066274,0.557525523,580.5586013,3756.641881,406.0494739,518.2411949,798.8372542,53.94175168,51.47732421,1.006882989,0.765388397,789.1991472,512.033493,9.638107021,6.207701825,42.86681069,1.699039066,5752.094376,5698.152625,3477.389773,1414.893894,859.8107091,2274.704603,19.5,18,107.9,0,1,1,1,1,1,1_1,1_1_1_1,H,BA,951,Rural,
Rural,Tilia americana,BW,3,9/14/2013,TG,297664,4708568,18.6,82.6,,,C,28.8,25.2,27,575.1,0.173584048,2.2,33.3,6.4,43.6,0.382191854,0.364647719,0.531714525,0.3715,0.3651,0.4141,0.418795002,0.377004856,0.517089389,332.6387371,1454.932559,215.9033781,178.3623806,285.8971469,31.08399922,29.72651182,0.888775342,1.357487391,285.8971469,178.3623806,0,0,0,0,2283.803598,2252.719599,1224.535599,496.2323021,563.0356968,1059.267999,15.4,17.9,68.9,0.025734079,1,1,1,0,1,1_0,1_1_1_0,H,BA,951,Rural,
Rural,Tilia americana,BW,4,9/18/2013,TG,297667,4708570,10.9,71.9,,,I,12.1,12.7,12.4,120.8,0.560632164,2.8,44.4,4.6,53.3,0.418686068,0.398277919,0.622779211,0.3337,0.3086,0.528,0.372384164,0.375852089,0.366437315,78.97902138,394.8271023,74.55137883,15.29075026,33.77782806,7.608849469,6.89007439,1.333474129,0.718775079,33.77782806,15.29075026,0,0,0,0,531.8170256,524.2081761,431.275081,58.01090192,42.53104262,100.5419445,5.7,5.1,40.1,0.085577109,1,1,0,0,0,0_0,1_1_0_0,H,BA,951,Rural,
Rural,Tilia americana,BW,5,9/18/2013,TG,297739,4708452,11.6,71.2,,,I,28.2,24.1,26.1,540.4,0.615761059,5,38.8,5,38.8,0.36639523,0.34380563,0.451827185,0.2999,0.2957,0.327,0.328504454,0.322206408,0.346355292,135.3085905,588.4697943,103.2673998,40.19645626,80.50893611,12.85039532,11.11535761,0.961480132,1.735037709,80.50893611,40.19645626,0,0,0,0,858.2956526,845.4452573,606.4106374,134.5172678,117.3677474,251.8850152,8.5,10.2,53.3,0.003715613,1,1,0,0,0,0_0,1_1_0_0,H,BA,951,Rural,0 disk missing dob measurments.  Estimated using average thickness from bark sample.
Rural,Tilia americana,BW,6,10/14/2013,TG,297928,4708407,21.9,95.8,,,C,30.3,25.5,27.9,615.9,0.538098832,2.2,44.4,9.9,53.8,0.399130667,0.393336798,0.432574189,0.3755,0.3644,0.4683,0.417200824,0.412627748,0.43014664,434.0480929,2459.324113,297.5998136,210.6921467,458.8927965,34.66130767,33.5516573,1.41461336,1.071482071,458.8927965,210.6921467,0,0,0.739705129,0.038168302,3599.772775,3565.111467,2335.322304,706.4005693,558.0499012,1264.45047,15.2,14.6,69.9,0.014732445,1,1,1,1,1,1_1,1_1_1_1,H,BA,951,Rural,
Rural,Tilia americana,BW,7,10/15/2013,TG,298016,4708407,24.2,85.7,,,D,47,41.4,44.2,1540.5,0.302599239,14.3,35.5,14.3,35.5,0.374818966,0.364767908,0.485475087,0.372,0.3714,0.3762,0.397938078,0.381259213,0.43776728,434.9544041,2352.656177,347.8098406,568.5232804,1253.486684,43.95274733,42.4313121,0.698886781,0.102105248,1253.486684,568.5232804,0,0,60.82335893,1.419329976,4715.095539,4671.142792,2273.458815,1927.484958,514.1517662,2441.636724,18.8,29.1,80.5,0.00041941,1,1,1,1,1,1_1,1_1_1_1,H,BA,951,Rural,
Rural,Tilia americana,BW,8,10/9/2013,TG,298032,4708426,16.7,80.6,,,I,34.6,29.5,32,811.9,0.267923428,1.2,9.7,6,55.1,0.377850062,0.369739304,0.47906828,0.3649,0.3513,0.4525,0.373816886,0.358551382,0.410907046,217.5094252,1020.8411,164.9482526,78.17053211,155.4349692,19.30122,18.44145578,1.194652815,0.859764221,155.4349692,78.17053211,0,0,0,0,1492.451899,1473.150679,405.8021693,254.1013742,832.5483559,1086.64973,13.8,12.6,63.5,0,1,1,0,0,0,0_0,1_1_0_0,H,BA,951,Rural,
Rural,Tilia americana,BW,9,9/14/2015,TNRC,569147,4716679,28.1,90.8,,,D,45.8,54,49.9,1968.9,0.089641969,16.2,38,16.2,38,0.407533344,0.399527294,0.493373967,0.39,0.3803,0.481,0.421658073,0.424264762,0.424243617,543.1773422,3946.556311,543.7081778,737.9313648,2458.662233,95.70079248,94.97600097,1.255716225,0.686800514,2451.312586,735.5839096,7.34964735,2.347455204,1.269976013,0.037990991,7784.553736,7688.852943,3470.563232,3294.820083,1019.170421,4313.990504,25.3,18.9,99.3,0,1,1,1,1,1,1_1,1_1_1_1,H,BA,951,Rural,
Rural,Tilia americana,BW,10,8/17/2015,TG,297394,4708087,19.6,85.1,,,C,34.2,34.1,34.2,916,0.167414838,8.5,38.8,8.7,57.1,0.395667698,0.372558888,0.54843636,0.3895,0.3791,0.4883,0.431289661,0.407172136,0.480231185,329.4489311,1756.332312,272.4618278,254.0834945,490.8438313,51.88549656,51.12497636,1.869168073,0.522900965,490.8438313,254.0834945,0,0,3.435827805,0.237619237,2887.899061,2836.013565,1566.941695,802.1178183,518.8395479,1320.957366,13.4,13.2,74.2,0.00974398,1,1,1,0,1,1_0,1_1_1_0,H,BA,951,Rural,
Rural,Tilia americana,BW,11,8/18/2015,TG,297841,4708408,14.5,80.2,,,C,33.3,25.7,29.5,694.8,0.781129687,9.5,24,9.5,24,0.40068002,0.383194636,0.497900156,0.3677,0.3576,0.417,0.386283018,0.358657165,0.448092761,245.1649662,853.6190453,141.0854726,144.0576348,281.4012629,21.18263163,20.16882736,1.679330267,0.984363577,281.4012629,144.0576348,0,0,0.594484491,0.02944069,1547.699356,1526.516724,585.5087196,448.9153441,513.2752919,962.190636,12.2,12.8,57.8,0,1,1,1,1,1,1_1,1_1_1_1,H,BA,951,Rural,Double stem with BW 12
Rural,Tilia americana,BW,12,8/18/2015,TG,297841,4708408,11.3,68.6,,,C,21.3,24.9,23.1,421.6,1.110596713,5.5,32.5,5.5,32.5,0.412926808,0.388766529,0.568754207,0.362,0.3425,0.4494,0.389667239,0.374574913,0.415191247,145.2758585,478.2111305,85.57807975,30.91600375,61.12579647,12.51514144,12.50267856,0,0,59.42484704,29.89208168,1.700949426,1.023922064,0.09174883,0.012462882,728.1356794,715.620538,482.9161977,104.6486905,140.5707912,245.2194817,8.1,7,57.8,0,1,1,0,0,0,0_0,1_1_0_0,H,BA,951,Rural,Double stem with BW 11
Rural,Tilia americana,BW,13,8/19/2015,TG,297829,4708390,8.9,44.4,,,I,21.3,15.5,18.4,272.5,2.010537002,3.5,11.1,5.6,18,0.376510304,0.352189562,0.486289088,0.3514,0.3202,0.4943,0.378996162,0.367118585,0.403682182,46.50016224,133.6037022,42.16561754,39.81728984,69.84226646,9.934199251,9.498585196,1.093214354,0.429321147,69.84226646,39.81728984,0,0,0.070201803,0.006292907,300.8610362,290.9268369,98.01560638,120.7571717,82.08825811,202.8454298,7.5,5.8,23.9,0,1,0,1,0,1,1_0,1_0_1_0,H,BA,951,Rural,
Rural,Tilia americana,BW,14,8/19/2015,TG,297829,4708390,3.6,33.4,,,S,17.2,12,14.6,172.7,3.373919976,2.3,12,2.3,12,0.371035298,0.336615214,0.456373398,0.3323,0.2926,0.4353,0.354450405,0.28383457,0.481757664,8.601716476,15.12197699,7.846331664,2.895914215,3.07577009,0.895707324,0.666921254,0.373590912,0.22878607,3.07577009,2.895914215,0,0,0,0,30.964676,30.06896868,17.09351381,7.24098254,6.630179656,13.8711622,2.9,2.8,11.3,0,0,0,0,0,0,0_0,0_0_0_0,H,BA,951,Rural,
Rural,Tilia americana,BW,15,8/19/2015,TG,297829,4708390,2.6,27.5,,,S,23.6,12.1,17.9,276.2,16.63262041,1.8,8.1,1.8,8.1,0.400647546,0.351565166,0.514203325,0.3763,0.3256,0.5165,0.350805559,0.29523947,0.308436808,3.934727365,6.476152272,4.134001114,0.44581782,0.745118564,1.066087566,0.2363625,0.269707471,0.829725066,0.433550997,0.249975349,0.311567568,0.195842471,0,0,12.93761106,11.87152349,6.824422307,2.526731421,3.58645733,6.113188751,2.5,2.4,8,0,0,0,0,0,0,0_0,0_0_0_0,H,BA,951,Rural,"Slightly differnet branch procedure used, increased accuracy for small branches."
Rural,Populus deltoides,CW,1,8/13/2018,LA,627412,4703833,40.9,105.2,4,2,D,89.7,78.5,84.1,5579.6,0.156594787,9.5,18.5,22.4,36.4,0.33833423,0.3461227,0.294741001,0.3197,0.32,0.3172,0.406818431,0.465481361,0.323093674,654.6364414,6540.201366,693.3536772,1681.87455,6604.194332,140.7183575,135.5594893,0,0,6590.126587,1678.889534,14.06774405,2.985016057,315.335634,5.158868229,15936.96068,15796.24232,3031.652182,8742.122873,4163.185626,12905.3085,35.3,34.5,120.7,0,1,1,1,1,1,1_1,1_1_1_1,H,CW,742,Rural,
Rural,Populus deltoides,CW,2,5/20/2019,LA,626266,4703217,11.5,57.5,1,2,D,18.6,30.5,24.6,501.2,0.025083612,1.9,5.1,5.7,20.6,0.510564551,0.521920442,0.601301581,0.9547,0.9794,0.837,0.454437637,0.452544958,0.475928835,62.31499007,316.8161765,71.67631983,272.388172,419.2244469,13.27686225,12.09651519,14.32754608,1.180347059,419.2244469,272.388172,0,0,0,0,1098.348194,1085.071332,82.79028576,719.2170272,296.3408808,1015.557908,11,11,36.9,0,1,1,1,0,1,1_0,1_1_1_0,H,CW,742,Rural,
Rural,Populus deltoides,CW,3,6/3/2019,LA,626286,4703174,19.1,73.3,2,1,D,43.5,28.3,35.9,1057.6,0.057673429,2.6,16.1,9.4,33,0.39931589,0.407436986,0.325003754,0.37,0.3681,0.3832,0.465939097,0.465131098,0.463348796,204.2136344,1209.343951,186.2298718,282.0001692,918.6061822,62.83802992,58.09330765,3.717810451,1.047765369,914.2256453,279.6630309,4.380536882,2.33713834,75.28328953,3.696956903,2756.003067,2693.165037,652.0394566,1342.445481,761.5181287,2103.96361,16.4,16.3,55.2,0,1,1,1,0,1,1_0,1_1_1_0,H,CW,742,Rural,
Rural,Populus deltoides,CW,4,5/13/2019,LA,626271,4703189,14.1,70.4,1,2,C,28.4,24,26.2,542.9,0.109554287,2.3,15.3,5,37.5,0.392847581,0.389151255,0.424838106,0.3753,0.3654,0.4441,0.466437079,0.492752502,0.4388505,118.3781118,636.7347742,110.5262828,108.8695214,258.4595321,59.97610587,57.09146802,5.590879905,1.646189061,255.1149247,106.8016549,3.34460743,2.067866427,7.862796448,1.238448793,1195.871722,1135.895616,331.1386732,440.7588357,423.9742128,864.7330485,11.2,11,40.9,0,1,1,0,0,0,0_0,1_1_0_0,H,CW,742,Rural,
Rural,Populus deltoides,CW,5,6/17/2019,LA,626854,4704918,18.6,80.4,2,2,C,37.9,17.7,27.8,687.1,0.753804606,8.8,37.3,8.8,37.3,0.359036592,0.359387237,0.360873232,0.3437,0.3495,0.3172,0.44068352,0.468023035,0.386010008,223.4626569,1009.454117,172.9384237,109.2613893,247.8724184,18.18780774,13.38096398,1.777333333,1.928888889,217.3874187,101.4203525,30.48499965,7.841036769,67.46832078,2.877954865,1677.484044,1659.296236,1029.139183,444.5672696,203.7775908,648.3448604,10.9,11.8,55.4,0,1,1,1,0,1,1_0,1_1_1_0,H,CW,742,Rural,
Rural,Populus deltoides,CW,6,6/24/2019,LA,626271,4703189,24.7,79,3,1,D,33.5,41.5,37.5,1117,0.219816571,5,18.3,14.8,23.5,0.386916494,0.3901836,0.376088007,0.3965,0.4019,0.3627,0.441663022,0.452380365,0.419771578,348.5221882,1823.103226,340.7168319,488.1347751,1521.488749,67.42582669,64.14211179,0,0,1520.434277,488.100521,1.054471514,0.034254123,102.8814067,3.283714892,4351.556171,4284.130344,1183.862864,2179.930757,987.7625503,3167.693307,20.1,19.9,75,0,1,1,1,1,1,1_1,1_1_1_1,H,CW,742,Rural,
TRC Cottonwood,Populus deltoides,CW,7,7/11/2019,TRC,707390,4728216,9.1,67.9,1,1,I,20.7,17.7,19.2,291.3,0.450428274,1.4,36,2.2,51.4,0.352764129,0.360955773,0.327838682,0.329,0.3436,0.2618,0.494450607,0.475052875,0.539151212,48.31265858,249.7960872,35.0690382,15.66605418,28.913488,13.38802368,9.604817222,6.391540785,2.743685801,28.913488,15.66605418,0,0,4.290843474,1.039520656,366.7586959,353.3706723,243.937043,68.64995012,54.17170287,122.821653,5.8,6,24,0,1,1,0,0,0,0_0,1_1_0_0,H,CW,742,Rural,
TRC Cottonwood,Populus deltoides,CW,8,7/11/2019,TRC,707384,4728214,6,43.8,1,1,I,10.1,10.3,10.2,81.7,0.658600414,1.1,25.8,1.3,31.2,0.35963635,0.361263946,0.367931328,0.3438,0.3189,0.4726,0.488595056,0.495033976,0.579103915,21.98003175,72.70281082,16.38871728,3.267364584,5.076751308,3.00506608,1.29126608,8.3446,1.7138,4.862019308,3.118946585,0.214732,0.148418,0,0,114.3766245,111.3715585,81.65247842,19.69378197,13.03036415,32.72414613,3.3,3,19.5,0.059826083,1,0,0,0,0,0_0,1_0_0_0,H,CW,742,Rural,
