project,scientific.name,spp,tree,date,loc,easting,northing,dbh.in,H.taped,R.Rating,F.Class,CrClass,Cwide,C90,Cdiam,Carea,CI,dFirstLiveBr.in,Ht.FirstLiveBr.ft,DLB.in,HtoLB.ft,st.sg.tree,st.sg.wood,st.sg.bark,dbh.sg.tree,dbh.sg.wood,dbh.sg.bark,br.sg.tree,br.sg.wood,br.sg.bark,DWdombark.lb,DWdomwood.lb,DW.to.bh.lb,DWbrbark.lb,DWbrwood.lb,DWlf.lb,sbr.DWlf.lb,DWsmbrwood.lb,DWsmbrlf.lb,DW.livebrwood.lb,DW.livebrbark.lb,DW.deadbrwood.lb,DW.deadbrbark.lb,DWmiscbrwood.lb,DWmiscbrlf.lb,DWtot.lb,DWtotWOleaf.lb,DW.tofbranch,DW.totbranch,DW.dom.above.fbranch.lb,DW.all.above.fbranch.lb,diam.at.first.branch,diam.at.first.branch2,DSH.cm,rot.index,MP,MS,BP,BS,LBT,MBT,MFT,group,spp.FIA,SPCD,Habitat,NOTES
Rural,Prunus serotina,BC,4,6/6/2016,ASGA,590093,4719953,14,64.1,2,7,C,30.5,25,27.8,610.7,0.123264973,9.1,12.5,9.1,12.5,0.557495279,0.545981743,0.712496411,0.5551,0.5581,0.5341,0.543559956,0.528147935,0.736689756,116.3898541,781.0773853,153.608457,116.8937721,483.2175797,22.66877093,21.96742384,3.874711967,0.70134709,477.7158019,115.5227106,5.501777794,1.371061501,0,0,1524.122074,1501.453303,427.7556466,626.6548348,469.7115928,1096.366428,12.6,13.1,39.9,0,1,1,1,0,1,1_0,1_1_1_0,H,BC,762,Rural,
Rural,Prunus serotina,BC,5,4/18/2016,RF,585829,4651780,20.5,107,,,C,41,40.5,40.8,1304.3,0.211284917,12,8,12,8,0.482999898,0.484266044,0.520443645,0.4518,0.4596,0.3782,0.470879031,0.461023855,0.572042273,225.1121007,2158.064164,290.1409718,55.73084748,294.1211493,0,0,0,0,276.4048418,55.73084748,17.71630748,0,2.553733339,0,2735.581994,2735.581994,527.0606475,352.4057301,1856.115617,2208.521347,20,19.4,70.8,0,1,1,1,1,1,1_1,1_1_1_1,H,BC,762,Rural,
Rural,Prunus serotina,BC,6,6/2/2016,ASGA,590226,4720038,4.3,29.6,2,2,I,14.2,10,12.1,118.5,1.193724239,1.3,9.2,1.3,20,0.604311143,0.596030942,0.655374133,0.6384,0.6288,0.6866,0.475860918,0.452898019,0.56734387,8.140624666,37.66911329,14.20476665,2.129847703,6.974681724,2.63967429,1.182149584,10.76019344,1.422224579,6.021628314,1.865725321,0.95305341,0.264122382,0.269249811,0.035300128,68.58338492,65.94371063,27.0932643,22.77364696,18.71647365,41.49012061,3.3,2.9,11.5,0,0,0,0,0,0,0_0,0_0_0_0,H,BC,762,Rural,
Rural,Prunus serotina,BC,7,4/20/2017,RF,585595,4652251,9.6,76,3,8,I,15.4,10.9,13.2,139.8,0.770149258,1.9,42.8,3.5,53.7,0.571582765,0.564986634,0.665998263,0.5199,0.5009,0.7908,0.484842863,0.509361533,0.389873823,64.81430572,576.8156873,74.36278132,6.0557535,33.5344716,0,0,1.5741,0,29.2130311,5.249940207,4.321440503,0.805813292,0.326711876,0,683.12103,683.12103,494.616962,41.49103698,147.0130311,188.5040681,6.4,7.6,52.8,0.018152983,1,1,0,0,0,0_0,1_1_0_0,H,BC,762,Rural,
Rural,Prunus serotina,BC,9,4/17/2017,AL,686910,4673714,22.7,99.1,4,6,C,33.9,49.2,41.5,1401.9,0.252148959,4.4,31,8.4,68,0.504978916,0.497644235,0.581811349,0.5136,0.5039,0.6394,0.468135649,0.468351121,0.459207675,410.6312782,3394.734839,355.8087438,117.0506799,471.1742486,0,0,21.07334066,0,436.0915625,111.9019333,35.08268615,5.148746566,12.89161752,0,4427.556004,4427.556004,2090.78938,622.1898866,1714.576738,2336.766624,17.9,16.7,67.1,0.000239829,1,1,1,0,1,1_0,1_1_1_0,H,BC,762,Rural,
Rural,Prunus serotina,BC,10,4/18/2017,AL,686805,4673682,15.7,89.9,2,2,C,37.3,30.8,34,918.9,0.596872949,2.9,36.6,5.1,67.2,0.568572741,0.559648442,0.704426512,0.5228,0.5082,0.7971,0.523978387,0.527615266,0.510268778,181.6587494,1725.730105,195.3303155,71.57819751,244.2140277,0,0,17.25213483,0,244.2140277,71.57819751,0,0,0,0,2240.433215,2240.433215,1282.063982,333.0443601,625.3248728,958.3692329,12.7,13.7,56.3,0.002574013,1,1,0,0,0,0_0,1_1_0_0,H,BC,762,Rural,
Rural,Fagus grandifolia,BE,1,6/2/2014,RF,585630,4651099,19.7,102.8,,,D,31.4,33,32.2,814.8,0.109927492,7.1,52.8,8,70.5,0.564840102,0.5649346,0.560051821,0.5854,0.5853,0.5862,0.555106114,0.540621835,0.694599336,178.0968858,3359.079572,276.3251998,124.3858772,937.8849768,32.45415797,30.53481453,1.636167887,1.268040265,923.1144424,121.9370986,14.77053435,2.448778626,21.78817055,0.651303178,4655.325808,4622.87165,2756.136448,1118.14935,781.04001,1899.18936,14.4,14.8,66.6,0,1,1,1,0,1,1_0,1_1_1_0,H,AB,531,Rural,"Green weight for top was documented wrongly in the lab.  Modeled best as possible from other BE tops, but the top weight/sg/ect should not be used in analysis."
Rural,Fagus grandifolia,BE,2,6/16/2014,RF,585792,4651070,24.6,99.9,,,D,52.9,47.4,50.1,1981.2,0.016055203,1.4,12.7,10.4,60.7,0.503668851,0.495319815,0.669485411,0.3766,0.364,0.6503,0.586571886,0.56540427,0.792677751,335.4339441,5050.2846,427.1635676,310.3834612,2075.67562,70.80052386,68.24021806,2.806629338,1.168035718,2074.002318,310.1023102,1.673302041,0.28115102,47.91859876,1.392270084,7893.303377,7822.502853,1229.757893,2507.584833,4155.960651,6663.545484,22.6,22,94.2,0,1,1,1,0,1,1_0,1_1_1_0,H,AB,531,Rural,
Rural,Fagus grandifolia,BE,3,6/30/2014,RF,585512,4651022,16.5,86.4,,,D,33,34.6,33.8,897.8,0.199862468,1.5,41.5,7.2,56.8,0.538795818,0.534152919,0.608140026,0.6023,0.6049,0.5625,0.548384033,0.526385012,0.772007421,169.4707503,2050.10676,268.8592992,76.24716143,450.9609559,62.80923049,59.77512072,1.064884922,1.092801834,448.739302,76.17653804,2.221653924,0.070623393,16.84862124,1.941307938,2827.508365,2764.699134,1705.918549,607.930854,513.6589621,1121.589816,11.7,12.3,64.2,0.037152848,1,1,1,0,1,1_0,1_1_1_0,H,AB,531,Rural,Large flare at section 6 due to rot.
Rural,Fagus grandifolia,BE,4,7/7/2014,RF,585586,4651093,11.3,65,,,I,41,33,37,1087.8,0,3.2,22.3,6.4,26.4,0.606977611,0.602441601,0.698516434,0.5689,0.5677,0.5888,0.597848443,0.589653476,0.830536293,43.47174019,681.0977033,119.9178773,36.85209374,355.056049,28.34086669,26.24698823,4.95219949,1.799199869,321.2720163,32.64460541,33.78403272,4.207488331,4.169773362,0.294678595,1153.940426,1125.599559,485.6212985,429.3709823,238.9481451,668.3191273,9.1,8.3,44.2,0,1,1,1,0,1,1_0,1_1_1_0,H,AB,531,Rural,
Rural,Fagus grandifolia,BE,5,7/9/2014,RF,585496,4651047,7.4,50,,,S,24.8,25.8,25.3,502.9,0.290664037,1.2,7,2.5,34,0.610601871,0.605641347,0.69898068,0.6613,0.6577,0.7387,0.623142023,0.622948733,0.655799612,17.46338738,250.5955359,55.97187883,14.95820837,86.75541989,12.58100649,11.36574562,14.9736087,1.21526087,86.75541989,14.95820837,0,0,0,0,397.3271667,384.7461602,83.62462746,129.2682434,184.4342958,313.7025392,6.9,6.9,32.6,0,1,0,0,0,0,0_0,1_0_0_0,H,AB,531,Rural,
