loc,scientific.name,spp,tree,easting,northing,lat,lon,dbh.in,dwtot.lb
RF,Acer saccharum,SM,7,585645,4651164,42.00783965860667,-85.96573918910579,27.5,9250.40566
RF,Acer saccharum,SM,8,585678,4651778,42.01336524771264,-85.9652511228753,30.2,16887.46805
RF,Acer saccharum,SM,9,585693,4651806,42.01361575952136,-85.96506590563816,10.4,1184.021175
RF,Acer saccharum,SM,10,585651,4651718,42.01282787593969,-85.96558591109343,4,106.2864855
RF,Acer saccharum,SM,11,585650,4651714,42.0127919640573,-85.96559856996747,2.7,35.76244398
RF,Acer saccharum,SM,12,585737,4651808,42.01362897783889,-85.9645342992158,12.4,1776.459467
RF,Acer saccharum,SM,13,585673,4650955,42.0059545279521,-85.96543160765137,14.1,2348.771459
RF,Acer saccharum,SM,14,585629,4651795,42.01352366841478,-85.96584033145027,15.9,3361.08353
RF,Acer saccharum,SM,15,585796,4650982,42.006184272523654,-85.96394257582226,32.8,13316.58341
RF,Acer saccharum,SM,16,585609,4651112,42.007375304838774,-85.96618144404833,24,8066.38065
RF,Acer saccharum,SM,17,585699,4650929,42.00571756316652,-85.96512148168715,22.7,4217.412183
RF,Acer saccharum,SM,18,585688,4651030,42.00662828435394,-85.96523955396103,25.5,8738.754568
RF,Acer saccharum,SM,19,585576,4651026,42.00660444670971,-85.96659242593672,20.2,6038.537198
RF,Fagus grandifolia,AB,1,585630,4651099,42.007255953356506,-85.96592978295679,19.7,4622.87165
RF,Fagus grandifolia,AB,2,585792,4651070,42.00697716446784,-85.96397801296376,24.6,7822.502853
RF,Fagus grandifolia,AB,3,585512,4651022,42.006575380562424,-85.96736574500004,16.5,2764.699134
RF,Fagus grandifolia,AB,4,585586,4651093,42.007206707214216,-85.96646191921666,11.3,1125.599559
RF,Fagus grandifolia,AB,5,585496,4651047,42.0068022482023,-85.96755528864914,7.4,384.7461602
RF,Fagus grandifolia,AB,6,585496,4651068,42.00699135722715,-85.96755223067471,2.2,23.17750251
RF,Fagus grandifolia,AB,7,585756,4651172,42.007899615557804,-85.96439778079225,31.4,15394.62889
RF,Fagus grandifolia,AB,8,585645,4651158,42.007785627496276,-85.9657400643759,14,2446.559834
RF,Fagus grandifolia,AB,9,585699,4651178,42.00795985417881,-85.96508513687263,28,10884.66838
RF,Fagus grandifolia,AB,10,585668,4651090,42.00717077222319,-85.96547227942601,17.4,4392.6156
RF,Fagus grandifolia,AB,11,585656,4650972,42.00610946602129,-85.96563438356452,26,9336.024582
RF,Fagus grandifolia,AB,12,585652,4651117,42.00741565328252,-85.96566152623471,29.2,12582.79429
RF,Fagus grandifolia,AB,13,585670,4651087,42.007143539013725,-85.96544856895763,21.4,6599.731991
RF,Fagus grandifolia,AB,14,585665,4651040,42.00672083940502,-85.96551579705152,10,940.8539818
RF,Fagus grandifolia,AB,15,585619,4651113,42.00738322244803,-85.96606055672328,5.8,237.7172321
RF,Fagus grandifolia,AB,16,585505,4651019,42.00654912533174,-85.96745069991478,3.9,71.47803994
NW,Liriodendron tulipifera,TP,1,597412,4643737,41.93959279458492,-85.82489658098342,29,8435.44743
NW,Liriodendron tulipifera,TP,2,597458,4643710,41.93934398320552,-85.82434625157799,11.5,736.3650506
NW,Liriodendron tulipifera,TP,3,597461,4643712,41.9393616224023,-85.82430973853259,17.1,2473.479177
NW,Liriodendron tulipifera,TP,4,597455,4643709,41.93933534886029,-85.8243825991873,16.4,2127.954927
NW,Liriodendron tulipifera,TP,5,597451,4643704,41.93929081854843,-85.82443166915164,26.1,7091.071383
